assembly_accession	biosample	organism	rule_id	field	value	condition	evidence	status	detail	Host_SD	Host_TaxID	Host_Context_SD	Host_Health_State_SD	Host_Disease_SD	Isolation_Site_SD	Isolation_Source_SD	Sample_Type_SD
GCA_020293225.1	SAMN14503184	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_042158265.1	SAMN42088522	Escherichia coli O157:H7	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure	environmental material	manure
GCA_057044145.1	SAMN50509420	Faecalibacterium wellingii	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing_different	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy	Homo sapiens	9606		healthy/control	healthy/no disease reported		clinical/host-associated material	feces/stool
GCA_056469245.1	SAMN56812885	Escherichia coli O157:H7	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_056530365.1	SAMN56811526	Escherichia coli O109:H10	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_057037925.1	SAMN50509585	Acutalibacteraceae bacterium	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing_different	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy	Homo sapiens	9606		healthy/control	healthy/no disease reported		clinical/host-associated material	feces/stool
GCA_011803105.1	SAMN12628265	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure	environmental material	manure
GCA_011869025.1	SAMN12715342	Escherichia coli O157:H7	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_011936805.1	SAMN11942955	Escherichia coli O157:H7	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_011944545.1	SAMN11658261	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_012877235.1	SAMN14441008	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
