isolation_source_sd,assembly_count,recommended_action
larvae tissue,1,route_to_sample_type
left thigh tissue,1,route_to_sample_type
lichen tissue from bark of Buchanania latifolia,1,route_to_sample_type
mac tissue,1,route_to_sample_type
mantle tissue,1,route_to_sample_type
mice faeces,1,route_to_sample_type
midgut tissue,1,route_to_sample_type
mix tissue,1,route_to_sample_type
monitor tissue composite,1,route_to_sample_type
multiple tissue camelid,1,route_to_sample_type
naturally-infected soybean tissue,1,route_to_disease_or_health_state
necrotic lower limb tissue,1,route_to_sample_type
necrotised soft tissue,1,route_to_sample_type
neonatal calf faeces,1,route_to_sample_type
olive knot tissue,1,route_to_sample_type
ovine pooled tissue,1,route_to_sample_type
parotid tissue,1,route_to_sample_type
peri prosthetic tissue,1,route_to_sample_type
peribile duct tissue,1,route_to_sample_type
pericardial tissue,1,route_to_sample_type
periesophagus/peritrachial tissue,1,route_to_sample_type
peritoneal lavage,1,route_to_sample_type
phloem tissue (green shoots with witches-broom symptoms),1,route_to_sample_type
pine (Pinus sylvestris) tissue cultures from meristems of trees,1,route_to_sample_type
placental tissue,1,route_to_sample_type
porcine tissue pool (Sus scrofa domesticus),1,route_to_sample_type
post-op tissue,1,route_to_sample_type
poulltry faeces,1,route_to_sample_type
prostate tissue,1,route_to_sample_type
pulmonary tissue from the wolfs frozen mummy,1,route_to_sample_type
rabbit tissue (derivative of EGD strain),1,route_to_sample_type
raccoon tissue,1,route_to_sample_type
renal tissue,1,route_to_sample_type
reptile multiple tissue,1,route_to_sample_type
resected aortic valve tissue,1,route_to_sample_type
right hip bursa tissue,1,route_to_sample_type
right ischial tissue,1,route_to_sample_type
roe deer faeces,1,route_to_sample_type
salivary tissue,1,route_to_sample_type
shoot tissue,1,route_to_sample_type
shoulder tissue,1,route_to_sample_type
snake tissue,1,route_to_sample_type
soft tissue (calf),1,route_to_sample_type
soft tissue (finger),1,route_to_sample_type
soft tissue (knee),1,route_to_sample_type
soft tissue samples,1,route_to_sample_type
soybean tissue,1,route_to_sample_type
spine tissue,1,route_to_sample_type
splenic tissue,1,route_to_sample_type
