assembly_accession	biosample	organism	decision	reason	Host	Host_Original	Host_SD	Host_TaxID	Host_Context_SD	Sampling_Context_SD	Host_Colonization_Status_SD	Host_Vital_Status_SD	Sample_Material_SD	Isolation_Source_SD	Sample_Type_SD	Environment_Medium_SD	Environment_Local_Scale_SD	Environment_Broad_Scale_SD	raw_context
GCA_009748455.1	SAMN10105131	Vibrio cholerae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | Carrier
GCA_052561515.1	SAMN47845943	Haemophilus influenzae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | nasopharynx | nasopharynx
GCA_052565315.1	SAMN47846084	Haemophilus influenzae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | nasopharynx | nasopharynx
GCA_001091065.1	SAMEA859938	Yersinia kristensenii	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | nasopharynx | nasopharynx
GCA_022263635.1	SAMN07421072	Klebsiella pneumoniae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	clinical sample			clinical/host-associated material	clinical sample | clinical/host-associated material | clinical/host-associated material | clinical/host-associated material | clinical/host-associated material | Clinical or carriage sample
GCA_052548755.1	SAMN47846159	Haemophilus influenzae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | nasopharynx | nasopharynx
GCA_052549255.1	SAMN47846181	Haemophilus influenzae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | nasopharynx | nasopharynx
GCA_018767565.1	SAMN04460897	Clostridioides difficile	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier		feces/stool	clinical/host-associated material	feces/stool		gut/fecal local context	host-associated gut/oral/fecal environment	feces/stool | feces/stool | clinical/host-associated material | clinical/host-associated material | gut/fecal local context | host-associated gut/oral/fecal environment | feces | Faeces | feces | Faeces
GCA_002097285.1	SAMN06546682	Staphylococcus aureus	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier								Carriage sample
GCA_034981885.1	SAMN02982633	Streptococcus pyogenes	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier								human carrier
GCA_052560755.1	SAMN47846116	Haemophilus influenzae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | nasopharynx | nasopharynx
GCA_052564495.1	SAMN47845901	Haemophilus influenzae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | nasopharynx | nasopharynx
