count,field,value,recommended_action
1,Isolation_Source_SD,parent strain V19 with nagY gene deletion,route to controlled category or manual_review
1,Isolation_Source_SD,parent strain V19 with hylA gene deletion,route to controlled category or manual_review
1,Isolation_Source_SD,parent strain V19 with deletion of the 5 untranslated region of the nagY gene,route to controlled category or manual_review
1,Isolation_Source_SD,This is ATCC 33843,route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 49162, CCUG 27126, DSM 12409",route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 35316,route to controlled category or manual_review
1,Isolation_Source_SD,parent strain ATCC 33679; Barcode B8 insertion strain,route to controlled category or manual_review
1,Isolation_Source_SD,parent strain ATCC 33679; Barcode B7 insertion strain,route to controlled category or manual_review
1,Isolation_Source_SD,parent strain ATCC 33679; Barcode B12 insertion strain,route to controlled category or manual_review
1,Isolation_Source_SD,parent strain ATCC 33679; Barcode B4 insertion strain,route to controlled category or manual_review
1,Isolation_Source_SD,parent strain ATCC 33679; Barcode B1 insertion strain,route to controlled category or manual_review
1,Isolation_Source_SD,NRS 243 on filter paper exposed to methyl bromide for 48 hrs,route to controlled category or manual_review
1,Isolation_Source_SD,NRS 243 on hair exposed to methylene bromide for 72 hrs,route to controlled category or manual_review
1,Isolation_Source_SD,derived from HD-317,route to controlled category or manual_review
1,Isolation_Source_SD,originally deposited in ATCC as Arthrobacter sp.,route to controlled category or manual_review
1,Isolation_Source_SD,derived from existing strain,route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 29315, NCTC 11050",route to controlled category or manual_review
1,Isolation_Source_SD,Cultivated from CCT190562S ATCC 14581,route to controlled category or manual_review
1,Isolation_Source_SD,"sub-population from original ATCC 27064 vial labeled ""Dec 15. 1986""",route to controlled category or manual_review
1,Isolation_Source_SD,mutant strain derived from Streptomyces xinghaiensis ATCC 19609,route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 15579,route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 43185,route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 8483,route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 8492,route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 43183, CIP 104203T, JCM 9496",route to controlled category or manual_review
1,Isolation_Source_SD,"DSM 20697, ATCC 27754",route to controlled category or manual_review
1,Isolation_Source_SD,ATCC BAA-614,route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 43879, CCUG 23435",route to controlled category or manual_review
1,Isolation_Source_SD,ATCC BAA-430,route to controlled category or manual_review
1,Isolation_Source_SD,"LCDC 16143, ATCC 700968",route to controlled category or manual_review
1,Isolation_Source_SD,ATCC Collection,route to controlled category or manual_review
1,Isolation_Source_SD,"DSM 17216, CCUG 45780, CIP 104286, ATCC 29800, Carlier 10203, VPI 3293",route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 55813,route to controlled category or manual_review
1,Isolation_Source_SD,"DSM 16992, ATCC 27539, CIP 104175, DSM 20103",route to controlled category or manual_review
1,Isolation_Source_SD,"DSM 20438, ATCC 27919, LMG 10505, JCM 1200",route to controlled category or manual_review
1,Isolation_Source_SD,"DSM 20093, ATCC 49850, JCM 8224",route to controlled category or manual_review
1,Isolation_Source_SD,"DSM 20213, ATCC 15700, NCTC 11815",route to controlled category or manual_review
1,Isolation_Source_SD,"DSM 20098, ATCC 27535",route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 25845,route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 700821, CCUG 39484, DSM 18710",route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 33563,route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 49559, CCUG 48288, DSM 3688",route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 29303,route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 11116, CCUG 25716",route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 33392,route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 33390,route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 29220, CDC 1885/75",route to controlled category or manual_review
1,Isolation_Source_SD,"DSM 20072, ATCC 12315, NCDO 1438",route to controlled category or manual_review
1,Isolation_Source_SD,"DSM 20075, ATCC 15009",route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 4796,route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 33200, DSM 10533",route to controlled category or manual_review
1,Isolation_Source_SD,Bacteriophage Insensitive Mutant of strain ATCC 10386,route to controlled category or manual_review
1,Isolation_Source_SD,"DSM 4582, ATCC 33077, CIP 79.01, ICPB 3995, NCTC 11214",route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 35198, CDC 4732-68",route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 29906, CDC PR 14",route to controlled category or manual_review
1,Isolation_Source_SD,ATCC BAA-2276,route to controlled category or manual_review
1,Isolation_Source_SD,Nitrosoguanidine-induced mutant derived from ATCC 6872,route to controlled category or manual_review
1,Isolation_Source_SD,"Engineered derivative of C. glutamicum ATCC 13032, carrying a number of defined deletions",route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 33806, CCUG 47160",route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 33035,route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 51867,route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 49726, CCUG 28780, CNCTC 6805 , CNCTC Th 4/63",route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 33030, NCTC 11859",route to controlled category or manual_review
