rule_file,action,normalized_synonym,before_value,after_value,before_taxid,after_taxid
host_negative_rules,added,bonamia sp.,,not_identifiable,,
host_negative_rules,added,boraras naevus,,not_identifiable,,
host_negative_rules,added,borellia bruneri,,not_identifiable,,
host_negative_rules,added,bracket mold,,not_identifiable,,
host_negative_rules,added,brasillia sp.,,not_identifiable,,
host_negative_rules,added,breeder,,non_host_source,,
host_negative_rules,added,bryobia graminum,,not_identifiable,,
host_negative_rules,added,callysponga elegans,,not_identifiable,,
host_negative_rules,added,calytrix glaberrima,,not_identifiable,,
host_negative_rules,added,capricorn,,not_identifiable,,
host_negative_rules,added,capsella sp.,,not_identifiable,,
host_negative_rules,added,carpobrotus rossii,,not_identifiable,,
host_negative_rules,added,carrageenan,,non_host_source,,
host_negative_rules,added,ceratius sp.,,not_identifiable,,
host_negative_rules,added,chamaecytisus albus,,not_identifiable,,
host_negative_rules,added,citellus fulvus,,not_identifiable,,
host_negative_rules,added,citellus musticus,,not_identifiable,,
host_negative_rules,added,clinic,,non_host_source,,
host_negative_rules,added,coleophora tesquorum,,not_identifiable,,
host_negative_rules,added,comscasia,,not_identifiable,,
host_negative_rules,added,concentrated platelets mixture,,non_host_source,,
host_negative_rules,added,concentrated platelets mixture preservative solution,,non_host_source,,
host_negative_rules,added,corbicula aurea,,not_identifiable,,
host_negative_rules,added,costelytra giveni,,not_identifiable,,
host_negative_rules,added,crambe sp.,,not_identifiable,,
host_negative_rules,added,crasosstrea spp. farfantepenaeus spp.,,not_identifiable,,
host_negative_rules,added,craugastor taurus,,not_identifiable,,
host_negative_rules,added,crypticerya multicicatrices,,not_identifiable,,
host_negative_rules,added,csir ihbt,,non_host_source,,
host_negative_rules,added,ctenophthalmus orientalis,,not_identifiable,,
host_negative_rules,added,ctenophthalmus teres,,not_identifiable,,
host_negative_rules,added,culturing pond,,non_host_source,,
host_negative_rules,added,cyanobacterium lyngbya cf. aestuarii,,non_host_source,,
host_negative_rules,added,d. daghestanicus,,not_identifiable,,
host_negative_rules,added,d. dagistanicus,,not_identifiable,,
host_negative_rules,added,danica,,not_identifiable,,
host_negative_rules,added,dasytastes bicolor,,not_identifiable,,
host_negative_rules,added,dasytastes sp. 01,,not_identifiable,,
host_negative_rules,added,dasytastes sp. 02,,not_identifiable,,
host_negative_rules,added,dasytes lineellus,,not_identifiable,,
host_negative_rules,added,dasytes seminudus,,not_identifiable,,
host_negative_rules,added,decaying wood,,non_host_source,,
host_negative_rules,added,departamento de engenharia de bioprocessos e biotecnologia ufpr,,non_host_source,,
