synonym,canonical,taxid,confidence,rank,superkingdom,lineage,current_note,recommended_action,action_detail
Aldabrachelys gigantea,Aldabrachelys gigantea,167804,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Testudinata;Testudines;Cryptodira;Durocryptodira;Testudinoidea;Testudinidae;Aldabrachelys;Aldabrachelys gigantea,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Siniperca chuatsi,Siniperca chuatsi,119488,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Eupercaria;Centrarchiformes;Centrarchoidei;Sinipercidae;Siniperca;Siniperca chuatsi,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Sinibrama taeniatus,Sinibrama taeniatus,1582966,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Otomorpha;Ostariophysi;Otophysi;Cypriniphysae;Cypriniformes;Cyprinoidei;Xenocyprididae;Xenocypridinae;Sinibrama;Sinibrama taeniatus,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Triplophysa pseudoscleroptera,Triplophysa pseudoscleroptera,1844429,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Otomorpha;Ostariophysi;Otophysi;Cypriniphysae;Cypriniformes;Cobitoidei;Nemacheilidae;Triplophysa;Triplophysa pseudoscleroptera,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Hemibarbus labeo,Hemibarbus labeo,328524,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Otomorpha;Ostariophysi;Otophysi;Cypriniphysae;Cypriniformes;Cyprinoidei;Gobionidae;Hemibarbus-Squalidus clade;Hemibarbus;Hemibarbus labeo,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Acrossocheilus monticola,Acrossocheilus monticola,356813,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Otomorpha;Ostariophysi;Otophysi;Cypriniphysae;Cypriniformes;Cyprinoidei;Cyprinidae;Acrossocheilinae;Acrossocheilus;Acrossocheilus monticola,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Anasa andresii,Anasa andresii,2714317,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Eumetabola;Paraneoptera;Hemiptera;Prosorrhyncha;Heteroptera;Euheteroptera;Neoheteroptera;Panheteroptera;Pentatomomorpha;Coreoidea;Coreidae;Coreinae;Anasa;Anasa andresii,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Loripes clausus,Loripes clausus,881217,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Mollusca;Bivalvia;Autobranchia;Heteroconchia;Euheterodonta;Imparidentia;Lucinida;Lucinoidea;Lucinidae;Loripes;Loripes clausus,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Codakia distinguenda,Codakia distinguenda,2890210,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Mollusca;Bivalvia;Autobranchia;Heteroconchia;Euheterodonta;Imparidentia;Lucinida;Lucinoidea;Lucinidae;Codakia;Codakia distinguenda,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Sesuvium portulacastrum,Sesuvium portulacastrum,221166,high,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;Caryophyllales;Aizoaceae;Sesuvium;Sesuvium portulacastrum,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Prunus cerasifera,Prunus cerasifera,36595,high,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;fabids;Rosales;Rosaceae;Amygdaloideae;Amygdaleae;Prunus;Prunus cerasifera,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Acacia dealbata,Acacia dealbata,205042,high,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;fabids;Fabales;Fabaceae;Caesalpinioideae;mimosoid clade;Acacieae;Acacia;Acacia dealbata,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Populus trichocarpa,Populus trichocarpa,3694,high,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;fabids;Malpighiales;Salicaceae;Saliceae;Populus;Populus trichocarpa,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Bolivina costata,Bolivina costata,2448356,high,species,Eukaryota,cellular organisms;Eukaryota;Sar;Rhizaria;Retaria;Foraminifera;Rotaliida;Bolivinacea;Bolivinitidae;Bolivina;Bolivina costata,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Pseudodiploria strigosa,Pseudodiploria strigosa,1428006,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Hexacorallia;Scleractinia;Vacatina;Faviidae;Pseudodiploria;Pseudodiploria strigosa,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Brachionus plicatilis,Brachionus plicatilis,10195,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Gnathifera;Rotifera;Eurotatoria;Monogononta;Pseudotrocha;Ploima;Brachionidae;Brachionus;Brachionus plicatilis,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Apis andreniformis,Apis andreniformis,7464,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Eumetabola;Endopterygota;Hymenoptera;Apocrita;Aculeata;Apoidea;Anthophila;Apidae;Apinae;Apini;Apis;Apis andreniformis,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Agave salmiana,Agave salmiana,332343,high,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;Liliopsida;Petrosaviidae;Asparagales;Asparagaceae;Agavoideae;Agave;Agave salmiana,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Schizopygopsis pylzovi,Schizopygopsis pylzovi,263523,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Otomorpha;Ostariophysi;Otophysi;Cypriniphysae;Cypriniformes;Cyprinoidei;Cyprinidae;Schizopygopsinae;Schizopygopsis;Schizopygopsis pylzovi,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Dicerothamnus rhinocerotis,Dicerothamnus rhinocerotis,112353,high,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;asterids;campanulids;Asterales;Asteraceae;Asteroideae;Gnaphalieae;Dicerothamnus;Dicerothamnus rhinocerotis,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Androsace koso-poljanskii,Androsace koso-poljanskii,229444,high,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;asterids;Ericales;Primulaceae;Androsace;Androsace koso-poljanskii,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Haloxylon ammodendron,Haloxylon ammodendron,151230,high,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;Caryophyllales;Amaranthaceae;Salsoloideae;Salsoleae;Haloxylon;Haloxylon ammodendron,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Thyasira gouldii,Thyasira gouldii,1697963,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Mollusca;Bivalvia;Autobranchia;Heteroconchia;Euheterodonta;Imparidentia;Lucinida;Thyasiroidea;Thyasiridae;Thyasira;Thyasira gouldii,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Aplysia punctata,Aplysia punctata,71498,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Mollusca;Gastropoda;Heterobranchia;Euthyneura;Tectipleura;Aplysiida;Aplysioidea;Aplysiidae;Aplysia;Aplysia punctata,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Phyla canescens,Phyla canescens,489088,high,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;asterids;lamiids;Lamiales;Verbenaceae;Lantaneae;Phyla;Phyla canescens,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Populus deltoides,Populus deltoides,3696,high,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;fabids;Malpighiales;Salicaceae;Saliceae;Populus;Populus deltoides,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Mimosa pigra,Mimosa pigra,367322,high,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;fabids;Fabales;Fabaceae;Caesalpinioideae;mimosoid clade;Mimoseae;Mimosa;Mimosa pigra,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Dicuspiditermes spinitibialis,Dicuspiditermes spinitibialis,229704,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Dictyoptera;Blattodea;Blattoidea;Termitoidae;Termitidae;Termitinae;Pericapritermes group;Dicuspiditermes;Dicuspiditermes spinitibialis,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Ovis ammon,Ovis ammon,30527,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Laurasiatheria;Artiodactyla;Ruminantia;Pecora;Bovidae;Caprinae;Ovis;Ovis ammon,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Pleurotus eryngii,Pleurotus eryngii,5323,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetidae;Agaricales;Pleurotineae;Pleurotaceae;Pleurotus;Pleurotus eryngii,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Pinus pinaster,Pinus pinaster,71647,high,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Acrogymnospermae;Pinopsida;Pinidae;Conifers I;Pinales;Pinaceae;Pinus;Pinus subgen. Pinus;Pinus pinaster,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
American beech,American beech,60423,high,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;fabids;Fagales;Fagaceae;Fagus;Fagus grandifolia,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Culter alburnus,Culter alburnus,194366,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Otomorpha;Ostariophysi;Otophysi;Cypriniphysae;Cypriniformes;Cyprinoidei;Xenocyprididae;Xenocypridinae;Culter;Culter alburnus,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Paris polyphylla,Paris polyphylla,49666,high,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;Liliopsida;Petrosaviidae;Liliales;Melanthiaceae;Paris;Paris polyphylla,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Hyalomma dromedarii,Hyalomma dromedarii,34626,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Acari;Parasitiformes;Ixodida;Ixodoidea;Ixodidae;Hyalomminae;Hyalomma;Hyalomma dromedarii,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Labeo catla,Labeo catla,72446,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Otomorpha;Ostariophysi;Otophysi;Cypriniphysae;Cypriniformes;Cyprinoidei;Cyprinidae;Labeoninae;Labeonini;Labeo;Labeo catla,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Folsomia candida,Folsomia candida,158441,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Collembola;Entomobryomorpha;Isotomoidea;Isotomidae;Proisotominae;Folsomia;Folsomia candida,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Plethodon cinereus,Plethodon cinereus,141976,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amphibia;Batrachia;Caudata;Salamandroidea;Plethodontidae;Plethodontinae;Plethodon;Plethodon cinereus,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Haplosclerida sp.,Haplosclerida sp.,3444323,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Porifera;Demospongiae;Heteroscleromorpha;Haplosclerida;unclassified Haplosclerida;Haplosclerida sp.,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Chaetoceros curvisetus,Chaetoceros curvisetus,230516,high,species,Eukaryota,cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Bacillariophyta;Coscinodiscophyceae;Chaetocerotophycidae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros curvisetus,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Fugacium kawagutii,Fugacium kawagutii,2697096,high,species,Eukaryota,cellular organisms;Eukaryota;Sar;Alveolata;Dinophyceae;Suessiales;Symbiodiniaceae;Fugacium;Fugacium kawagutii,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Arctocephalus forsteri,Arctocephalus forsteri,29084,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Laurasiatheria;Carnivora;Caniformia;Pinnipedia;Otariidae;Arctocephalus;Arctocephalus forsteri,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Equus quagga chapmani,Equus quagga chapmani,192603,high,subspecies,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Laurasiatheria;Perissodactyla;Equidae;Equus;Equus quagga;Equus quagga chapmani,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Orycteropus afer,Orycteropus afer,9818,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Afrotheria;Tubulidentata;Orycteropodidae;Orycteropus;Orycteropus afer,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Augochlorella aurata,Augochlorella aurata,586896,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Eumetabola;Endopterygota;Hymenoptera;Apocrita;Aculeata;Apoidea;Anthophila;Halictidae;Halictinae;Augochlorini;Augochlorella;Augochlorella aurata,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Symbiodinium tridacnidarum,Symbiodinium tridacnidarum,1602974,high,species,Eukaryota,cellular organisms;Eukaryota;Sar;Alveolata;Dinophyceae;Suessiales;Symbiodiniaceae;Symbiodinium;Symbiodinium tridacnidarum,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Bombus occidentalis,Bombus occidentalis,217885,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Eumetabola;Endopterygota;Hymenoptera;Apocrita;Aculeata;Apoidea;Anthophila;Apidae;Apinae;Bombini;Bombus;Bombus;Bombus occidentalis,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
